Student,ID,SIS User ID,SIS Login ID,Root Account,Section,Student's Request for Authorization of Absence - Webcourses Quiz for Step 1 (8140379),Attendance (8213842),Prerequisite / Financial Aid Quiz  (8140409),EC: W02-Video-Content-Quiz (8140423),EC: W04-Video-Content-Quiz (8140375),EC: W05-Video-Content-Quiz (8140430),EC: W06-Video-Content-Quiz (8140380),EC: W07-Video-Content-Quiz (8140387),EC Total to Ex1 (8140446),EC: W08-Video-Content-Quiz (8140412),EC: W10-Video-Content-Quiz (8140401),EC: W11-Video-Content-Quiz (8140420),EC: W13-Video-Content-Quiz (8140406),EC Total to Ex2 (8140447),EC: W10-Video-Content-Quiz(W10-not-used-in-Summer) (8140407),EC: W15-Video-Content-Quiz (8140390),EC: W09-Video-Content-Quiz (8140408),EC Total to Final (8140448),Quiz 3 Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (8140422),Final Exam-s Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (8140393),Attendance - Quiz 2 rebuttal (8225884),Midterm Exam 1 Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (8140418),Quiz 2 - Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (8180728),Midterm Exam 2-s Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (8140386),Attendance - Midterm 1 rebuttal (8140436),Attendance - Quiz 3 rebuttal (8140438),Attendance - Quiz 1 rebuttal  (8225802),Attendance - Midterm 2 Rebuttal (8140437),Midterm Exam 1 + EC (8140451),Midterm Exam 2 + EC (8140452),Final-s+15ptsCurve+EC (8140449),Quiz 1- Requires Respondus LockDown Browser (8140376),Quiz 2 + 1.2pts curve (8247171),Quiz 3 with +4 Curve (8140459),Project #1 Score (8140455),Collaborative Activity #1 Score (8140439),Project #2 Score (8140456),Collaborative Activity #2 Score (8140440),Project #3 Score (8140457),Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Assignment Reminders Current Score,Assignment Reminders Unposted Current Score,Assignment Reminders Final Score,Assignment Reminders Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Component Scores (instead weighted in corresponding category after EC added) Current Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Current Score,Component Scores (instead weighted in corresponding category after EC added) Final Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Final Score,(Midterm Exam 1)+EC Category Current Score,(Midterm Exam 1)+EC Category Unposted Current Score,(Midterm Exam 1)+EC Category Final Score,(Midterm Exam 1)+EC Category Unposted Final Score,(Midterm Exam 2)+EC Category Current Score,(Midterm Exam 2)+EC Category Unposted Current Score,(Midterm Exam 2)+EC Category Final Score,(Midterm Exam 2)+EC Category Unposted Final Score,(Final Exam)+EC Category Current Score,(Final Exam)+EC Category Unposted Current Score,(Final Exam)+EC Category Final Score,(Final Exam)+EC Category Unposted Final Score,Quiz1-Category Current Score,Quiz1-Category Unposted Current Score,Quiz1-Category Final Score,Quiz1-Category Unposted Final Score,Quiz2-Category Current Score,Quiz2-Category Unposted Current Score,Quiz2-Category Final Score,Quiz2-Category Unposted Final Score,Quiz3-Category Current Score,Quiz3-Category Unposted Current Score,Quiz3-Category Final Score,Quiz3-Category Unposted Final Score,Project 1 Materials Overall Category Current Score,Project 1 Materials Overall Category Unposted Current Score,Project 1 Materials Overall Category Final Score,Project 1 Materials Overall Category Unposted Final Score,Project 1 Collaborative Category Current Score,Project 1 Collaborative Category Unposted Current Score,Project 1 Collaborative Category Final Score,Project 1 Collaborative Category Unposted Final Score,Project 2 Materials Overall Category Current Score,Project 2 Materials Overall Category Unposted Current Score,Project 2 Materials Overall Category Final Score,Project 2 Materials Overall Category Unposted Final Score,Project 2 Collaborative Activity Category Current Score,Project 2 Collaborative Activity Category Unposted Current Score,Project 2 Collaborative Activity Category Final Score,Project 2 Collaborative Activity Category Unposted Final Score,Project 3 Materials Overall Category Current Score,Project 3 Materials Overall Category Unposted Current Score,Project 3 Materials Overall Category Final Score,Project 3 Materials Overall Category Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,100,4.67,1,0,0,0,1,2,0,1,0,1,1,0,1,0,2,20,37,33.33,61.67,14,44.43,66.67,100,42.85,100,70.67,55.43,54,12.33,15.2,24,82.42,100,85.31,150,94,100,100,100,100,,,,,46.03,46.03,46.03,46.03,40.15,40.15,40.15,40.15,68.74,68.74,68.74,68.74,70.67,70.67,70.67,70.67,55.43,55.43,55.43,55.43,54,54,54,54,49.33,49.33,49.33,49.33,60.8,60.8,60.8,60.8,96,96,96,96,82.42,82.42,82.42,82.42,100,100,100,100,85.31,85.31,85.31,85.31,150,150,150,150,94,94,94,94,69.65,69.65,69.65,69.65,C+,C+,C+,C+
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,0,100,5,0.5,0,0,0,0,0.5,0,0.5,1,1,1.5,1,1,0,2,8.67,53.25,83.33,75.33,18.5,74.27,100,100,85.71,100,82.83,85.77,81.58,21.67,19.7,12.67,80.83,150,84.04,150,86,100,100,100,100,,,,,47.62,47.62,47.62,47.62,64.55,64.55,64.55,64.55,88.61,88.61,88.61,88.61,82.83,82.83,82.83,82.83,85.77,85.77,85.77,85.77,81.58,81.58,81.58,81.58,86.68,86.68,86.68,86.68,78.8,78.8,78.8,78.8,50.68,50.68,50.68,50.68,80.83,80.83,80.83,80.83,150,150,150,150,84.04,84.04,84.04,84.04,150,150,150,150,86,86,86,86,84.4,84.4,84.4,84.4,A,A,A,A
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,100,5.67,0.5,1,0,0,1,2.5,0,1.8,1,0,2.8,1,0,0,0,9.04,34.33,83.33,55.33,11,44.68,100,100,71.43,100,64.83,57.48,49.33,16.17,12.2,13.04,74.89,66.5,75.88,125,89.33,100,100,100,100,,,,,56.98,56.98,56.98,56.98,56.31,56.31,56.31,56.31,77.19,77.19,77.19,77.19,64.83,64.83,64.83,64.83,57.48,57.48,57.48,57.48,49.33,49.33,49.33,49.33,64.68,64.68,64.68,64.68,48.8,48.8,48.8,48.8,52.14,52.14,52.14,52.14,74.89,74.89,74.89,74.89,66.5,66.5,66.5,66.5,75.88,75.88,75.88,75.88,125,125,125,125,89.33,89.33,89.33,89.33,63.25,63.25,63.25,63.25,C,C,C,C
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,100,100,5,0,1,0,0,0,1,0,2,0,1,4,0,0,2,1,11.67,64.67,66.67,63.33,19,69.46,33.33,100,71.43,100,71.33,83.47,80.67,25,20.2,15.67,79.7,150,74.9,87.5,96,100,100,100,200,,,,,52.38,52.38,52.38,52.38,63.56,63.56,63.56,63.56,73.05,73.05,73.05,73.05,71.33,71.33,71.33,71.33,83.47,83.47,83.47,83.47,80.67,80.67,80.67,80.67,100,100,100,100,80.8,80.8,80.8,80.8,62.68,62.68,62.68,62.68,79.7,79.7,79.7,79.7,150,150,150,150,74.9,74.9,74.9,74.9,87.5,87.5,87.5,87.5,96,96,96,96,81.56,81.56,81.56,81.56,B+,B+,B+,B+
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,100,6,0,0,1,0,1,2,0,0,1,0,1,1,1,0,1,16.6,65,0,70.83,23,76.76,83.33,100,85.71,100,79.83,87.77,81,24,24.2,20.6,93.33,150,93.09,106.5,95,100,100,100,100,,,,,52.38,52.38,52.38,52.38,36.27,36.27,36.27,36.27,86.34,86.34,86.34,86.34,79.83,79.83,79.83,79.83,87.77,87.77,87.77,87.77,81,81,81,81,96,96,96,96,96.8,96.8,96.8,96.8,82.4,82.4,82.4,82.4,93.33,93.33,93.33,93.33,150,150,150,150,93.09,93.09,93.09,93.09,106.5,106.5,106.5,106.5,95,95,95,95,88.31,88.31,88.31,88.31,A,A,A,A
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,75,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,10.67,49.17,100,52.6,17,65.01,66.67,50,0,100,59.6,75,66.17,11.17,18.2,14.67,93.17,150,87.89,125,91,75,75,75,75,,,,,23.81,23.81,23.81,23.81,71.04,71.04,71.04,71.04,56.2,56.2,56.2,56.2,59.6,59.6,59.6,59.6,75,75,75,75,66.17,66.17,66.17,66.17,44.67,44.67,44.67,44.67,72.8,72.8,72.8,72.8,58.68,58.68,58.68,58.68,93.17,93.17,93.17,93.17,150,150,150,150,87.89,87.89,87.89,87.89,125,125,125,125,91,91,91,91,73.51,73.51,73.51,73.51,B-,B-,B-,B-
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,100,25,6,0,0,0,0,0,1,1,1.25,0,0,4.25,1,0,2,0,11.07,60.17,100,75,20,84.1,33.33,0,71.43,100,83,98.35,75.17,21.17,21.2,15.07,80.85,100,88.54,125,71.17,25,25,25,125,,,,,53.57,53.57,53.57,53.57,76.1,76.1,76.1,76.1,61.42,61.42,61.42,61.42,83,83,83,83,98.35,98.35,98.35,98.35,75.17,75.17,75.17,75.17,84.67,84.67,84.67,84.67,84.8,84.8,84.8,84.8,60.28,60.28,60.28,60.28,80.85,80.85,80.85,80.85,100,100,100,100,88.54,88.54,88.54,88.54,125,125,125,125,71.17,71.17,71.17,71.17,84.13,84.13,84.13,84.13,A,A,A,A
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,75,3.33,0,1,0,0.5,0,2.5,1,0.25,1,1,1.25,0,1,0,2,22.6,79.67,66.67,88.5,16.5,79.66,83.33,50,57.14,100,98,97.42,96.67,17,17.7,26.6,37.92,116.5,40.13,200,62,75,75,75,75,,,,,43.25,43.25,43.25,43.25,75.08,75.08,75.08,75.08,76.02,76.02,76.02,76.02,98,98,98,98,97.42,97.42,97.42,97.42,96.67,96.67,96.67,96.67,68,68,68,68,70.8,70.8,70.8,70.8,106.4,106.4,106.4,106.4,37.92,37.92,37.92,37.92,116.5,116.5,116.5,116.5,40.13,40.13,40.13,40.13,200,200,200,200,62,62,62,62,86.81,86.81,86.81,86.81,A,A,A,A
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,100,5,0.5,0,0,0,0,0.5,0,1,1,0,3,0,0,1,0,13,45.94,100,55.17,23.6,63.47,100,100,100,75,62.67,76.47,60.93,22.67,25.3,17,88,150,87.61,175,86.67,100,100,100,100,,,,,40.48,40.48,40.48,40.48,70.64,70.64,70.64,70.64,82.76,82.76,82.76,82.76,62.67,62.67,62.67,62.67,76.47,76.47,76.47,76.47,60.93,60.93,60.93,60.93,90.67,90.67,90.67,90.67,101.2,101.2,101.2,101.2,68,68,68,68,88,88,88,88,150,150,150,150,87.61,87.61,87.61,87.61,175,175,175,175,86.67,86.67,86.67,86.67,77.87,77.87,77.87,77.87,B,B,B,B
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,100,100,7,0.5,0,0,0,0,0.5,0,1,0,0,1,0,1,0,1,25,80.13,33.33,86.47,18,94.5,66.67,100,42.85,50,93.97,105.5,96.13,22.67,19.2,29,90,150,88.58,106.5,91,100,100,100,200,,,,,45.24,45.24,45.24,45.24,61.54,61.54,61.54,61.54,73.36,73.36,73.36,73.36,93.97,93.97,93.97,93.97,105.5,105.5,105.5,105.5,96.13,96.13,96.13,96.13,90.67,90.67,90.67,90.67,76.8,76.8,76.8,76.8,116,116,116,116,90,90,90,90,150,150,150,150,88.58,88.58,88.58,88.58,106.5,106.5,106.5,106.5,91,91,91,91,97.29,97.29,97.29,97.29,A,A,A,A
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.67,30.42,0,53.77,16,52.17,0,0,0,0,60.77,62.17,45.42,9.83,17.2,15.67,73.18,75,60.05,137.5,73.07,0,0,0,0,,,,,23.81,23.81,23.81,23.81,18.7,18.7,18.7,18.7,19.51,19.51,19.51,19.51,60.77,60.77,60.77,60.77,62.17,62.17,62.17,62.17,45.42,45.42,45.42,45.42,39.33,39.33,39.33,39.33,68.8,68.8,68.8,68.8,62.68,62.68,62.68,62.68,73.18,73.18,73.18,73.18,75,75,75,75,60.05,60.05,60.05,60.05,137.5,137.5,137.5,137.5,73.07,73.07,73.07,73.07,60.9,60.9,60.9,60.9,D,D,D,D
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,50,4.67,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,16.47,41.07,0,70.67,22.5,38.73,0,100,0,75,77.67,49.73,57.07,15.83,23.7,20.47,55.87,100,50.44,100,62.53,50,50,50,50,,,,,31.75,31.75,31.75,31.75,25.57,25.57,25.57,25.57,49.1,49.1,49.1,49.1,77.67,77.67,77.67,77.67,49.73,49.73,49.73,49.73,57.07,57.07,57.07,57.07,63.33,63.33,63.33,63.33,94.8,94.8,94.8,94.8,81.88,81.88,81.88,81.88,55.87,55.87,55.87,55.87,100,100,100,100,50.44,50.44,50.44,50.44,100,100,100,100,62.53,62.53,62.53,62.53,64.71,64.71,64.71,64.71,C,C,C,C
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,,100,5,1,1,0,0.5,1,3.5,0,0,0,0,0,0,1,0,1,16,39.33,33.33,76.57,11,47.3,100,100,57.14,0,87.07,57.3,55.33,9.5,12.2,20,85.33,100,89.03,100,89.33,100,100,100,100,,,,,45.24,45.24,45.24,45.24,39.41,39.41,39.41,39.41,62.72,62.72,62.72,62.72,87.07,87.07,87.07,87.07,57.3,57.3,57.3,57.3,55.33,55.33,55.33,55.33,38,38,38,38,48.8,48.8,48.8,48.8,80,80,80,80,85.33,85.33,85.33,85.33,100,100,100,100,89.03,89.03,89.03,89.03,100,100,100,100,89.33,89.33,89.33,89.33,70.74,70.74,70.74,70.74,C+,C+,C+,C+
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,100,75,6,0,0,0,0,1,1,0,0.2,1,1,3.2,0,1,2,2,11,57.33,83.33,61,21,63.57,66.67,100,71.43,75,69,76.77,74.33,20.67,22.2,15,88.47,100,86.89,137.5,89.67,75,75,75,175,,,,,58.1,58.1,58.1,58.1,67.4,67.4,67.4,67.4,73.39,73.39,73.39,73.39,69,69,69,69,76.77,76.77,76.77,76.77,74.33,74.33,74.33,74.33,82.68,82.68,82.68,82.68,88.8,88.8,88.8,88.8,60,60,60,60,88.47,88.47,88.47,88.47,100,100,100,100,86.89,86.89,86.89,86.89,137.5,137.5,137.5,137.5,89.67,89.67,89.67,89.67,78.9,78.9,78.9,78.9,B,B,B,B
,,,,webcourses.ucf.edu,EEL3801C-23Fall 0M01,0,0,6,0,1,0,0,0,1,0,0,1,0,3,0,0,2,0,15.67,37,16.67,73.67,16,66.27,16.67,0,85.71,25,81.67,79.27,52,17.83,17.2,19.67,73.03,200,90.33,150,68,0,0,0,0,,,,,47.62,47.62,47.62,47.62,30.82,30.82,30.82,30.82,45.33,45.33,45.33,45.33,81.67,81.67,81.67,81.67,79.27,79.27,79.27,79.27,52,52,52,52,71.33,71.33,71.33,71.33,68.8,68.8,68.8,68.8,78.68,78.68,78.68,78.68,73.03,73.03,73.03,73.03,200,200,200,200,90.33,90.33,90.33,90.33,150,150,150,150,68,68,68,68,76.72,76.72,76.72,76.72,B-,B-,B-,B-
